STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",7/1/2021,,61,53
USW00025333,"SITKA AIRPORT, AK US",7/2/2021,,60,52
USW00025333,"SITKA AIRPORT, AK US",7/3/2021,,66,54
USW00025333,"SITKA AIRPORT, AK US",7/4/2021,,60,55
USW00025333,"SITKA AIRPORT, AK US",7/5/2021,,65,55
USW00025333,"SITKA AIRPORT, AK US",7/6/2021,,59,54
USW00025333,"SITKA AIRPORT, AK US",7/7/2021,,58,53
USW00025333,"SITKA AIRPORT, AK US",7/8/2021,,58,53
USW00025333,"SITKA AIRPORT, AK US",7/9/2021,,57,53
USW00025333,"SITKA AIRPORT, AK US",7/10/2021,,60,51
USW00025333,"SITKA AIRPORT, AK US",7/11/2021,,60,51
USW00025333,"SITKA AIRPORT, AK US",7/12/2021,,60,54
USW00025333,"SITKA AIRPORT, AK US",7/13/2021,,57,52
USW00025333,"SITKA AIRPORT, AK US",7/14/2021,,58,51
USW00025333,"SITKA AIRPORT, AK US",7/15/2021,,60,50
USW00025333,"SITKA AIRPORT, AK US",7/16/2021,,61,54
USW00025333,"SITKA AIRPORT, AK US",7/17/2021,,63,56
USW00025333,"SITKA AIRPORT, AK US",7/18/2021,,63,57
USW00025333,"SITKA AIRPORT, AK US",7/19/2021,,70,55
USW00025333,"SITKA AIRPORT, AK US",7/20/2021,,64,56
USW00025333,"SITKA AIRPORT, AK US",7/21/2021,,59,54
USW00025333,"SITKA AIRPORT, AK US",7/22/2021,,63,55
USW00025333,"SITKA AIRPORT, AK US",7/23/2021,,61,56
USW00025333,"SITKA AIRPORT, AK US",7/24/2021,,58,54
USW00025333,"SITKA AIRPORT, AK US",7/25/2021,,59,52
USW00025333,"SITKA AIRPORT, AK US",7/26/2021,,64,49
USW00025333,"SITKA AIRPORT, AK US",7/27/2021,,62,57
USW00025333,"SITKA AIRPORT, AK US",7/28/2021,,70,52
USW00025333,"SITKA AIRPORT, AK US",7/29/2021,,70,52
USW00025333,"SITKA AIRPORT, AK US",7/30/2021,,73,60
USW00025333,"SITKA AIRPORT, AK US",7/31/2021,,66,48
